행정구역,아파트 실거래가격,순인구이동,출생건수,혼인건수,평균초혼연령,소비자물가지수,소비자물가등락률,대출금액,차량등록현황,교통사고,삶의 만족도,미분양주택현황
전국,353.98,-1257.19,393197,284367,31.06,90.8,1.37,80152.23,16633120,220996,63.61,54700.7
수도권,473.96,515.17,66639,48837,31.53,95.28,1.5,301113.32,7629160,97895,64.71,18579.9
지방,247.78,-661.79,13636,9280,30.96,89.84,1.33,32803.42,9003959,123101,63.37,36120.8
서울특별시,723.72,-8381.28,73633,59748,31.96,94.99,1.63,535549.56,2552613,39512,65.16,1089.5
부산광역시,317.86,-1717.38,23274,17227,31.69,95.53,1.59,93187.68,1017921,12746,64.18,2791.8
대구광역시,305.04,-1158.95,17343,11894,31.38,95.19,1.6,60214.84,902157,13827,62.92,2007.6
인천광역시,314.53,695.46,22943,15962,31.25,95.36,1.44,72537.65,951560,8750,64.16,2824.2
광주광역시,239.89,-396.48,11269,7561,31.4,96.02,1.39,27936.95,498173,7922,65.22,693.5
대전광역시,275.97,-785.82,12043,8299,31.11,96.44,1.32,27880.9,528048,6836,65.66,977.9
울산광역시,284.59,-375.48,10091,6822,30.99,96.73,1.32,23243.32,434974,4636,65.34,1524.4
세종특별자치시,274.63,2044.81,2400,1306,28.24,10.0,0.44,4915.85,77880,547,42.89,50.3
경기도,383.64,9231.32,103340,70801,31.38,95.48,1.44,295252.74,4124986,49632,64.83,14666.2
강원도,179.23,186.67,10089,7455,31.06,95.61,1.38,15672.48,534069,8345,65.53,3557.6
충청북도,201.62,317.32,12319,8384,30.77,96.02,1.38,20518.58,566473,9032,64.77,2227.5
충청남도,211.64,889.14,16880,11496,30.75,96.4,1.3,31108.86,748304,8816,64.89,6233.0
전라북도,186.02,-465.0,12646,8477,31.15,96.06,1.38,25186.5,630867,8462,64.73,1245.2
전라남도,171.06,-350.55,13702,8668,31.09,95.72,1.44,18608.8,604652,10061,65.35,1702.6
경상북도,178.43,-358.17,19746,13212,31.03,96.62,1.29,34084.92,973864,14709,64.21,4686.3
경상남도,243.88,-77.43,26283,17299,31.14,96.06,1.4,65316.49,1236090,12931,65.28,7735.0
제주특별자치도,292.92,701.79,5187,3530,31.61,95.34,1.46,11371.74,250483,4225,66.24,688.1
