행정구역,2015(총가구),2015(주택소유),2015(무주택),2016(총가구),2016(주택소유),2016(무주택),2017(총가구),2017(주택소유),2017(무주택),2018(총가구),2018(주택소유),2018(무주택),2019(총가구),2019(주택소유),2019(무주택),2020(총가구),2020(주택소유),2020(무주택)
전국,19111030,10698686,8412344,19367696,10743492,8624204,19673875,11000007,8673868,19979188,11233906,8745282,20343188,11456266,8886922,20926710,11730171,9196539
수도권,3071549,1640149,1431400,3110652,1649282,1461369,3165498,1682688,1482809,3228670,1723084,1505586,3308208,1763502,1544706,3409307,1810038,1599268
지방,659758,385215,274542,669049,386376,282673,678492,396796,281695,686211,404310,281901,694570,411050,283520,713252,420003,293248
서울특별시,3784490,1875295,1909195,3784705,1864059,1920646,3813260,1875189,1938071,3839766,1884423,1955343,3896389,1894875,2001514,3982290,1928074,2054216
부산광역시,1335900,786367,549533,1344170,783542,560628,1354401,791489,562912,1363608,796271,567337,1377030,799696,577334,1405037,809380,595657
대구광역시,928528,533011,395517,935753,537709,398044,948030,550374,397656,957516,557967,399549,968620,563282,405338,985816,569624,416192
인천광역시,1045417,611847,433570,1062828,617040,445788,1080285,630228,450057,1094749,642745,452004,1120576,650209,470367,1147200,659295,487905
광주광역시,567157,322530,244627,569372,324437,244935,575732,328263,247469,578559,333853,244706,587159,338980,248179,599217,343671,255546
대전광역시,582504,320654,261850,590698,320525,270173,597736,320407,277329,602175,325228,276947,609043,326384,282659,631208,330682,300526
울산광역시,423412,264500,158912,426027,266518,159509,428720,271099,157621,431391,274789,156602,437094,279906,157188,444087,286134,157953
세종특별자치시,75219,40715,34504,90413,47215,43198,104325,55925,48400,119029,64544,54485,129664,69400,60264,139106,73011,66095
경기도,4384742,2433305,1951437,4484424,2466749,2017675,4602950,2542649,2060301,4751497,2642084,2109413,4907660,2745423,2162237,5098431,2842747,2255684
강원도,606117,334031,272086,616346,338824,277522,620729,345955,274774,628484,353035,275449,633942,363552,270390,661039,378696,282343
충청북도,601856,348127,253729,617914,351451,266463,629073,362726,266347,640978,371224,269754,654713,382876,271837,678922,394482,284440
충청남도,796185,446466,349719,813730,456199,357531,834986,477532,357454,851124,492564,358560,864102,504574,359528,892222,517605,374617
전라북도,717311,421666,295645,724678,415291,309387,728871,427522,301349,732980,434101,298879,738307,439491,298816,755575,448731,306844
전라남도,720612,431275,289337,727197,421262,305935,733757,435332,298425,737406,441640,295766,741026,449851,291175,761518,464463,297055
경상북도,1062724,635608,427116,1076581,632790,443791,1087807,652416,435391,1094534,665822,428712,1102934,675292,427642,1131819,688989,442830
경상남도,1258487,769925,488562,1273523,773636,499887,1292998,800655,492343,1306394,816442,489952,1321213,831804,489409,1350155,850274,499881
제주특별자치도,220369,123364,97005,229337,126245,103092,240215,132246,107969,248998,137174,111824,253716,140671,113045,263068,144313,118755
