행정구역별,2019.01 월,2019.02 월,2019.03 월,2019.04 월,2019.05 월,2019.06 월,2019.07 월,2019.08 월,2019.09 월,2019.10 월,2019.11 월,2019.12 월,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월
부산광역시,1.827,1.523,1.185,0.789,0.611,0.003,0.373,0.366,1.207,1.509,1.361,2.587,0.908,2.738,1.8,0.586,0.586,0.071,0.252,0.566,0.879,1.152,0.905,0.903,1.773,4.179,1.306,0.456,2.774,0.138,0.307,0.13,0.54,0.522,2.788,3.84
인천광역시,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.231,0.057,0.0,0.0,0.004,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.725,0.0,0.0,0.0,0.093,0.0,0.0,0.01,0.0
울산광역시,0.0,0.0,0.309,0.761,0.103,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.145,0.068,0.048
경기도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원도,0.392,0.524,6.549,14.373,17.248,1.045,0.094,0.083,0.791,0.519,0.7,0.537,0.413,0.12,0.327,9.361,2.542,0.059,0.173,0.056,1.32,0.725,0.772,1.37,2.91,0.704,1.398,25.641,0.104,0.207,0.243,0.253,0.851,3.346,1.646,1.145
충청남도,0.002,0.006,0.09,0.524,0.798,0.304,0.072,0.041,0.037,0.421,0.219,0.111,0.001,0.004,0.065,0.554,0.323,0.03,0.037,0.08,0.01,0.004,0.06,0.02,0.003,0.0,0.024,0.99,0.08,0.018,0.009,0.003,0.011,0.014,5.073,10.141
전라북도,0.0,0.0,0.063,0.251,0.171,0.031,0.032,0.0,0.023,0.001,0.061,0.008,0.0,0.0,0.005,0.296,0.271,0.009,0.0,0.0,0.0,0.037,0.022,0.008,0.0,0.0,0.01,1.812,0.082,0.002,0.0,0.0,0.0,0.044,0.063,0.009
전라남도,31.645,27.326,31.002,90.71,70.997,12.421,7.23,9.504,23.86,33.222,35.425,28.42,28.714,26.766,34.709,121.304,89.89,22.342,8.451,11.126,35.414,42.848,27.023,29.513,26.02,31.103,38.469,105.896,8.394,9.853,5.854,16.866,48.012,62.42,52.453,44.152
경상북도,0.0,0.0,0.002,0.012,0.028,0.0,0.008,0.0,0.003,0.018,0.018,0.096,0.0,0.0,0.005,0.021,0.104,0.028,0.091,0.151,0.014,0.013,0.024,0.0,0.028,0.01,0.006,0.0,0.015,0.007,0.0,0.002,0.009,0.006,0.002,0.0
경상남도,45.047,27.884,23.005,43.821,52.602,22.605,11.923,19.915,29.71,29.529,28.963,43.47,42.836,32.828,22.414,26.458,66.103,40.934,14.709,17.139,33.621,38.71,38.513,35.798,34.784,28.502,26.434,49.128,15.183,31.638,15.878,28.308,45.01,53.941,64.638,57.495
제주도,0.0,0.0,0.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.439,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.0,0.0,0.0,0.026,0.093,0.0,0.0,0.0,0.0,0.0,0.164,0.0
